"Year","Average","First Digit"
1975,852.41,8
1976,1004.65,1
1977,831.17,8
1978,805.01,8
1979,838.74,8
1980,963.98,9
1981,875,8
1982,1046.55,1
1983,1258.64,1
1984,1211.57,1
1985,1546.67,1
1986,1895.95,1
1987,1938.83,1
1988,2168.57,2
1989,2753.2,2
1990,2633.66,2
1991,3168.83,3
1992,3301.11,3
1993,3754.09,3
1994,3834.44,3
1995,5117.12,5
1996,6448.27,6
1997,7908.25,7
1998,9181.43,9
1999,11497.12,1
2000,10786.85,1
2001,10021.5,1
2002,8341.63,8
2003,10453.92,1
2004,10783.01,1
2005,10717.5,1
2006,12463.15,1
2007,13264.82,1
2008,8776.39,8
2009,10428.05,1
2010,11557.51,1
2011,12217.56,1
2012,13104.14,1
2013,16576.66,1
2014,17823.07,1
2015,17425.03,1
2016,19762.6,1
